,Tweet_ID,Created_Date,Geo_Enabled,Geographical_Location,Ideology,Labels
0,1416578372508000257,2021-07-18 01:59:37,False,Undefined,ISIS/Jihadist,Recruitment
1,1415105917268336640,2021-07-14 00:28:36,False,Undefined,ISIS/Jihadist,Radicalization
2,1416069109494665216,2021-07-16 16:15:59,False,"['Afghan', 'Pak', 'Pakistan']",ISIS/Jihadist,Radicalization
3,1415535727073443842,2021-07-15 04:56:31,True,"['USA', 'US']",ISIS/Jihadist,Propaganda
4,1415353483398729731,2021-07-14 16:52:21,False,Undefined,ISIS/Jihadist,Recruitment
5,1415009124186660866,2021-07-13 18:03:59,False,"['USA', 'US', 'Afghan']",ISIS/Jihadist,Recruitment
6,1414213157183049730,2021-07-11 13:21:06,False,"['USA', 'US']",ISIS/Jihadist,Recruitment
7,1413806849724407808,2021-07-10 10:26:34,False,Undefined,ISIS/Jihadist,Radicalization
8,1416654359111241730,2021-07-18 07:01:34,False,['West'],ISIS/Jihadist,Radicalization
9,1415431093977853953,2021-07-14 22:00:44,False,['West'],ISIS/Jihadist,Radicalization
10,1415095921226911745,2021-07-13 23:48:53,False,['West'],ISIS/Jihadist,Radicalization
11,1413880407288860677,2021-07-10 15:18:52,False,Undefined,ISIS/Jihadist,Propaganda
12,1416610865726377987,2021-07-18 04:08:44,False,"['Afghan', 'Afghanistan']",ISIS/Jihadist,Recruitment
13,1416184438224998402,2021-07-16 23:54:16,False,['America'],ISIS/Jihadist,Radicalization
14,1415008383652962310,2021-07-13 18:01:02,False,"['USA', 'US']",ISIS/Jihadist,Radicalization
15,1416041348935819265,2021-07-16 14:25:41,True,Undefined,ISIS/Jihadist,Propaganda
16,1415008703833526272,2021-07-13 18:02:19,False,Undefined,ISIS/Jihadist,Propaganda
17,1416506180336119810,2021-07-17 21:12:45,False,"['USA', 'US', 'Afghan', 'Afghanistan']",ISIS/Jihadist,Radicalization
18,1416437892768010240,2021-07-17 16:41:24,True,"['USA', 'US']",ISIS/Jihadist,Recruitment
19,1415521652335652865,2021-07-15 04:00:35,True,"['Afghan', 'Pak', 'Pakistan', 'Afghanistan']",ISIS/Jihadist,Radicalization
20,1414307540813365264,2021-07-11 19:36:08,False,Undefined,ISIS/Jihadist,Propaganda
21,1414300548329771015,2021-07-11 19:08:21,False,"['Pak', 'Pakistan']",ISIS/Jihadist,Radicalization
22,1416610534594519042,2021-07-18 04:07:25,False,['America'],ISIS/Jihadist,Propaganda
23,1415046299913756679,2021-07-13 20:31:42,False,['America'],ISIS/Jihadist,Recruitment
24,1414276878945325059,2021-07-11 17:34:18,False,"['America', 'Afghan', 'Afghanistan', 'Iraq']",ISIS/Jihadist,Propaganda
25,1413753619954950144,2021-07-10 06:55:03,False,Undefined,ISIS/Jihadist,Radicalization
26,1416719315504488449,2021-07-18 11:19:40,False,['UK'],ISIS/Jihadist,Propaganda
27,1416711091812458503,2021-07-18 10:47:00,True,Undefined,ISIS/Jihadist,Radicalization
28,1416184281785831428,2021-07-16 23:53:38,False,Undefined,ISIS/Jihadist,Propaganda
